user_id,full_name,pan,aadhaar,date_of_birth,city,state,monthly_income,occupation,signup_timestamp,kyc_status,risk_segment,user_id_clean,record_duplicate,full_name_clean,pan_clean,aadhaar_clean,dob_clean,city_clean,state_clean,monthly_income_clean,occupation_clean,signup_timestamp_clean,kyc_status_clean,risk_segment_clean
USR16625,anika vora,CACWZ 2722 S,0179 7994 0718,,lucknow,Uttar Pradesh,28634,Unemployed,08-Mar-2026,Done,Medium,USR16625,False,Anika Vora,CACWZ2722S,017979940718,,Lucknow,Uttar Pradesh,28634.0,Unemployed,2026-03-08 00:00:00,DONE,MEDIUM
USR 65060,Anirudh Bhatnagar,AIWTB 3506 U,2501336722102,2003/06/16,JPR,Rajasthan,30875,Student,2024-05-24 07:29:05,VERIFIED,LOW,USR65060,False,Anirudh Bhatnagar,AIWTB3506U,,2003-06-16,Jaipur,Rajasthan,30875.0,Student,2024-05-24 07:29:05,VERIFIED,LOW
USR13678,Reva Jaggi,KWLPY9915,577479489696,27/05/1982,jaipur,Rajasthan,24.2k,Gig Worker,16/02/2024,Pending,low,USR13678,False,Reva Jaggi,,577479489696,1982-05-27,Jaipur,Rajasthan,24200.0,Gig Worker,2024-02-16 00:00:00,PENDING,LOW
USR78719,IndiraChaudhary,VGLXS2856D,6244-9453-8280,1977-04-17 07:18:29,ludhiana,Punjab,"Rs. 20,231",Student,30-Jan-2024,V,LOW,USR78719,False,Indirachaudhary,VGLXS2856D,624494538280,1977-04-17,Ludhiana,Punjab,20231.0,Student,2024-01-30 00:00:00,VERIFIED,LOW
USR83333,Gautam Bajwa,HLNXD 7947 Q,846950176261,24/08/1969 03:28 AM,HYDERABAD,Telangana,24890,Freelancer,1752135790,REJECTED,LOW,USR83333,False,Gautam Bajwa,HLNXD7947Q,846950176261,1969-08-24,Hyderabad,Telangana,24890.0,Freelancer,2025-07-10 08:23:10,REJECTED,LOW
USR53554,Hemani Behl,SIBUO4381D,448832778808,1968-09-20 20:31:53,Dilli,Delhi,"Rs. 26,617",Business Owner,2024-01-03 00:50:12,KYC_DONE,Low,USR53554,False,Hemani Behl,SIBUO4381D,448832778808,1968-09-20,Delhi,Delhi,26617.0,Business Owner,2024-01-03 00:50:12,KYC_DONE,LOW
USR 77711,  Warinder Solanki  ,MFDIC1823G,XXXX-XXXX-5406,15-Jul-1987,Pune,Maharashtra,-81093,Gig Worker,2025-04-06 14:45:00,Pending,HIGH,USR77711,False,Warinder Solanki,MFDIC1823G,,1987-07-15,Pune,Maharashtra,,Gig Worker,2025-04-06 14:45:00,PENDING,HIGH
USR69726,Rudra Lal,CXBKD3190N,976073035125,809571887,Calcutta,West Bengal,17.7k,Student,30-Dec-2024,Verified,low,USR69726,False,Rudra Lal,CXBKD3190N,976073035125,,Kolkata,West Bengal,17700.0,Student,2024-12-30 00:00:00,VERIFIED,LOW
USR 53544,DANIEL GOKHALE,ufleh5366c,,16/07/1998,lucknow,Uttar Pradesh,32124,Self Employed,2025/10/12,V,HIGH,USR53544,False,Daniel Gokhale,UFLEH5366C,,1998-07-16,Lucknow,Uttar Pradesh,32124.0,Self Employed,2025-10-12 00:00:00,VERIFIED,HIGH
usr57699,Advik Om,MXMQW-7893-W,XXXX-XXXX-1365,26/04/1999,Lucknow,Uttar Pradesh,"Rs. 19,875",Freelancer,04-06-2024,V,LOW,USR57699,False,Advik Om,MXMQW7893W,,1999-04-26,Lucknow,Uttar Pradesh,19875.0,Freelancer,2024-04-06 00:00:00,VERIFIED,LOW
USR53382,Mekhala Golla,BOBCZ3795L,652660807695,06-02-1967,Hyd,Telangana,13098,Retired,2026/01/12,KYC_DONE,LOW,USR53382,False,Mekhala Golla,BOBCZ3795L,652660807695,1967-02-06,Hyderabad,Telangana,13098.0,Retired,2026-01-12 00:00:00,KYC_DONE,LOW
USR 26959,Ganga Pai,JXFNR 4730 M,149449272703,1966/07/04,ASR,Punjab,"₹19,624",Retired,12-Feb-2026,VERIFIED,Unknown,USR26959,False,Ganga Pai,JXFNR4730M,149449272703,1966-07-04,Amritsar,Punjab,19624.0,Retired,2026-02-12 00:00:00,VERIFIED,UNKNOWN
USR13068,Megha Chandra,AVJUN6708Q,2829-0979-8427,10/09/1993 01:31 PM,Kolkata,West Bengal,25378,Self Employed,02-18-2024,Verified,low,USR13068,False,Megha Chandra,AVJUN6708Q,282909798427,1993-09-10,Kolkata,West Bengal,25378.0,Self Employed,2024-02-18 00:00:00,VERIFIED,LOW
USR32767,Sanya Dalal,HBFFH5169P,584280034012,01-18-1964,New Delhi,Delhi,"Rs. 17,051",Gig Worker,11/10/2024,KYC_DONE,High,USR32767,False,Sanya Dalal,HBFFH5169P,584280034012,1964-01-18,Delhi,Delhi,17051.0,Gig Worker,2024-10-11 00:00:00,KYC_DONE,HIGH
USR86400,Qadim Nayak,AQHFS2686A,9452 8737 2343,06-09-1978,Hyd,Telangana,"Rs. 19,485",Retired,2026-02-06 04:09:04,VERIFIED,low,USR86400,False,Qadim Nayak,AQHFS2686A,945287372343,1978-09-06,Hyderabad,Telangana,19485.0,Retired,2026-02-06 04:09:04,VERIFIED,LOW
USR72012,LIAM VARKEY,cnivl5277x,XXXX-XXXX-0556,25/08/2004,MUMBAI,Maharashtra,-23591,Salaried,2025-09-08 15:25:17,Pending,Low,USR72012,False,Liam Varkey,CNIVL5277X,,2004-08-25,Mumbai,Maharashtra,,Salaried,2025-09-08 15:25:17,PENDING,LOW
USR65078,ANAMIKA CHAUDHARY,eykup2541j,871855606283,09/01/1987,JPR,Rajasthan,16714,Freelancer,10/11/2024 04:26 PM,Done,low,USR65078,False,Anamika Chaudhary,EYKUP2541J,871855606283,1987-01-09,Jaipur,Rajasthan,16714.0,Freelancer,,DONE,LOW
USR 37121,Bhavika Thaker,MKYUT 2802 M,015496732243,29/07/1983,BLR,Karnataka,"INR 31,824",Self Employed,16/02/2025,Verified,LOW,USR37121,False,Bhavika Thaker,MKYUT2802M,015496732243,1983-07-29,Bengaluru,Karnataka,31824.0,Self Employed,2025-02-16 00:00:00,VERIFIED,LOW
usr_64308,Vedant Lalla,,8439-3768-1323,13/02/1990,Calcutta,West Bengal,10907,Retired,2026/03/08,V,medium,USR64308,False,Vedant Lalla,,843937681323,1990-02-13,Kolkata,West Bengal,10907.0,Retired,2026-03-08 00:00:00,VERIFIED,MEDIUM
USR13880,Krisha Borra,YWBSY7212H,,23/09/2003,HYDERABAD,Telangana,"INR 21,188",Farmer,1719640264,Verified,LOW,USR13880,False,Krisha Borra,YWBSY7212H,,2003-09-23,Hyderabad,Telangana,21188.0,Farmer,2024-06-29 05:51:04,VERIFIED,LOW
USR56830,Ekapad Dalal,FPHDL6481K,7446-9847-1442,12-23-1960,jaipur,Rajasthan,22808,Business Owner,1733423310,Verified,HIGH,USR56830,False,Ekapad Dalal,FPHDL6481K,744698471442,1960-12-23,Jaipur,Rajasthan,22808.0,Business Owner,2024-12-05 18:28:30,VERIFIED,HIGH
USR95322,Advik Sahota,QEHZG5598Z,738867861215,149330544,Calcutta,West Bengal,35085,Farmer,03/12/2024,Verified,High,USR95322,False,Advik Sahota,QEHZG5598Z,738867861215,,Kolkata,West Bengal,35085.0,Farmer,2024-12-03 00:00:00,VERIFIED,HIGH
USR23760,Saksham Dave,XSGLB7836O,982003027776,2003-10-20 16:41:57,lucknow,Uttar Pradesh,-28593,Gig Worker,2024/04/07,KYC_DONE,medium,USR23760,False,Saksham Dave,XSGLB7836O,982003027776,2003-10-20,Lucknow,Uttar Pradesh,,Gig Worker,2024-04-07 00:00:00,KYC_DONE,MEDIUM
USR28092,JACK LANKA,VANEO 2162 B,995050559108,14/09/1990,Dilli,Delhi,47900,Freelancer,12-27-2024,APPROVED,low,USR28092,False,Jack Lanka,VANEO2162B,995050559108,1990-09-14,Delhi,Delhi,47900.0,Freelancer,2024-12-27 00:00:00,APPROVED,LOW
usr_41268,  Onkar Ratta  ,MTPRE0507U,095974642287,08-28-2006,Jalandar,Punjab,35166,Retired,08/09/2024,IN_PROGRESS,LOW,USR41268,False,Onkar Ratta,MTPRE0507U,095974642287,2006-08-28,Jalandhar,Punjab,35166.0,Retired,2024-09-08 00:00:00,IN_PROGRESS,LOW
USR61809,Arjun Chander,JAWRM6042P,432985168205,560746453,Lucknow,Uttar Pradesh,"Rs. 13,796",Freelancer,1753923895,VERIFIED,low,USR61809,False,Arjun Chander,JAWRM6042P,432985168205,,Lucknow,Uttar Pradesh,13796.0,Freelancer,2025-07-31 01:04:55,VERIFIED,LOW
86464,Tanay Sinha,hcucz8229x,4466 8771 6426,1985-12-29 21:02:19,LDH,Punjab,"₹12,686",Business Owner,2026/01/05,V,MEDIUM,USR86464,False,Tanay Sinha,HCUCZ8229X,446687716426,1985-12-29,Ludhiana,Punjab,12686.0,Business Owner,2026-01-05 00:00:00,VERIFIED,MEDIUM
USR29929,Yamini Kade,BZKKN4437J,025396904187,1978/02/20,Lucknow,Uttar Pradesh,-42360,Business Owner,09-16-2025,Under Review,LOW,USR29929,False,Yamini Kade,BZKKN4437J,025396904187,1978-02-20,Lucknow,Uttar Pradesh,,Business Owner,2025-09-16 00:00:00,UNDER_REVIEW,LOW
USR 75086,Caleb Mammen,JVXFL4848V,5605 4506 7480,2003/08/30,LDH,Punjab,47.6k,Farmer,04/11/2025 09:28 PM,P,Unknown,USR75086,False,Caleb Mammen,JVXFL4848V,560545067480,2003-08-30,Ludhiana,Punjab,47600.0,Farmer,,PENDING,UNKNOWN
USR-78743,AtharvLall,GUHZF 2370 F,9828 5621 0452,04-22-1970,Jaipur,Rajasthan,"₹18,539",Self Employed,12-24-2024,Pending,LOW,USR78743,False,Atharvlall,GUHZF2370F,982856210452,1970-04-22,Jaipur,Rajasthan,18539.0,Self Employed,2024-12-24 00:00:00,PENDING,LOW
USR59316,Prisha Chander,XHBKR5403M,534910368969,1994/02/03,ludhiana,Punjab,13.3k,Unemployed,03-07-2026,VERIFIED,LOW,USR59316,False,Prisha Chander,XHBKR5403M,534910368969,1994-02-03,Ludhiana,Punjab,13300.0,Unemployed,2026-03-07 00:00:00,VERIFIED,LOW
USR90387,  Aarna Devi  ,TFWBR0265R,,02-Jul-1988,JPR,Rajasthan,"INR 24,127",Business Owner,2025/12/24,VERIFIED,Low,USR90387,False,Aarna Devi,TFWBR0265R,,1988-07-02,Jaipur,Rajasthan,24127.0,Business Owner,2025-12-24 00:00:00,VERIFIED,LOW
USR18776,Pushti Sha,OGVKP 1291 Y,,08-08-1966,Hyd,Telangana,,Student,2025/09/05,APPROVED,Low,USR18776,False,Pushti Sha,OGVKP1291Y,,1966-08-08,Hyderabad,Telangana,,Student,2025-09-05 00:00:00,APPROVED,LOW
USR13953,  Mugdha Thaker  ,GJIRE9459M,851299154050,11-Feb-1997,amritsar,Punjab,23495,Self Employed,17/04/2025,KYC_DONE,low,USR13953,False,Mugdha Thaker,GJIRE9459M,851299154050,1997-02-11,Amritsar,Punjab,23495.0,Self Employed,2025-04-17 00:00:00,KYC_DONE,LOW
usr33108,Ekavir Bal,cinip4289d,866127906399,18/09/1979 10:30 AM,Bengaluru,Karnataka,-19266,Freelancer,03-02-2024,KYC_DONE,Low,USR33108,False,Ekavir Bal,CINIP4289D,866127906399,1979-09-18,Bengaluru,Karnataka,,Freelancer,2024-03-02 00:00:00,KYC_DONE,LOW
USR71267,noah wable,WVMOD 0360 T,497610284249,1964-04-14 17:35:56,Bangalore,Karnataka,20388,Student,06-04-2025,Done,Low,USR71267,False,Noah Wable,WVMOD0360T,497610284249,1964-04-14,Bengaluru,Karnataka,20388.0,Student,2025-06-04 00:00:00,DONE,LOW
USR82470,Owen Nair,DPRST6843S,6455 7889 1743,30/07/1972,pune,Maharashtra,35891,Farmer,2025/06/25,Pending,MEDIUM,USR82470,False,Owen Nair,DPRST6843S,645578891743,1972-07-30,Pune,Maharashtra,35891.0,Farmer,2025-06-25 00:00:00,PENDING,MEDIUM
USR91477,Ojas Kumer,AXMWY 7954 C,931168320493,08/03/1961 12:28 AM,LDH,Punjab,"Rs. 28,545",Unemployed,25-Mar-2026,VERIFIED,low,USR91477,False,Ojas Kumer,AXMWY7954C,931168320493,1961-03-08,Ludhiana,Punjab,28545.0,Unemployed,2026-03-25 00:00:00,VERIFIED,LOW
USR 86614,Vedika Lanka,GFSVQ7146K,478547789264,1968-12-10 02:43:51,Pune,Maharashtra,"Rs. 37,338",Student,04-02-2024,KYC_DONE,LOW,USR86614,False,Vedika Lanka,GFSVQ7146K,478547789264,1968-12-10,Pune,Maharashtra,37338.0,Student,2024-04-02 00:00:00,KYC_DONE,LOW
USR-23635,Tanmayi Sunder,DRXCQ2579G,7963 0636 6826,769826146,Lucknow,Uttar Pradesh,20317,Gig Worker,1723131014,VERIFIED,Medium,USR23635,False,Tanmayi Sunder,DRXCQ2579G,796306366826,,Lucknow,Uttar Pradesh,20317.0,Gig Worker,2024-08-08 15:30:14,VERIFIED,MEDIUM
USR63684,Vasana Naidu,FYYYZ4211T,4139 2819 5585,04-11-1974,jalandhar,Punjab,39085,Freelancer,2025-11-30 20:37:22,APPROVED,low,USR63684,False,Vasana Naidu,FYYYZ4211T,413928195585,1974-11-04,Jalandhar,Punjab,39085.0,Freelancer,2025-11-30 20:37:22,APPROVED,LOW
USR40151,Lipika Pant,ZCYWL1620R,4596-0750-4259,2004-11-12 14:21:56,jalandhar,Punjab,"₹13,296",Student,,Done,Low,USR40151,False,Lipika Pant,ZCYWL1620R,459607504259,2004-11-12,Jalandhar,Punjab,13296.0,Student,,DONE,LOW
USR60198,Nihal Sunder,GMKIH3940L,1672-2212-2123,04/06/1992 11:00 AM,Bengaluru,Karnataka,39252,Student,17/07/2025,Verified,low,USR60198,False,Nihal Sunder,GMKIH3940L,167222122123,1992-06-04,Bengaluru,Karnataka,39252.0,Student,2025-07-17 00:00:00,VERIFIED,LOW
USR77081,  Ethan Dora  ,BZDWK4883M,394394089450,03/01/1963 07:46 PM,LKO,Uttar Pradesh,31508,Unemployed,2024-10-22 10:15:48,VERIFIED,HIGH,USR77081,False,Ethan Dora,BZDWK4883M,394394089450,1963-01-03,Lucknow,Uttar Pradesh,31508.0,Unemployed,2024-10-22 10:15:48,VERIFIED,HIGH
USR84077,Neelima Sem,DKNSH2914F,810082123328,28/12/1980,Ludhiana,Punjab,27515,Self Employed,2025/06/11,KYC_DONE,medium,USR84077,False,Neelima Sem,DKNSH2914F,810082123328,1980-12-28,Ludhiana,Punjab,27515.0,Self Employed,2025-06-11 00:00:00,KYC_DONE,MEDIUM
USR 59175,Ansh Virk,ambpc6856j,4006 8334 6413,27/03/1972 08:01 PM,MUMBAI,Maharashtra,16030,Student,02-13-2025,VERIFIED,medium,USR59175,False,Ansh Virk,AMBPC6856J,400683346413,1972-03-27,Mumbai,Maharashtra,16030.0,Student,2025-02-13 00:00:00,VERIFIED,MEDIUM
USR-64276,Upasna Subramanian,OPVCG1908W,024162763322,01/09/1974,Lucknow,Uttar Pradesh,19115,Farmer,2025/03/24,V,UNKNOWN,USR64276,False,Upasna Subramanian,OPVCG1908W,024162763322,1974-09-01,Lucknow,Uttar Pradesh,19115.0,Farmer,2025-03-24 00:00:00,VERIFIED,UNKNOWN
USR-64768,Warda Bhasin,DJJZS1635L,137833448545,-160078671,Mumbai,Maharashtra,32936,Self Employed,2026/02/22,V,Unknown,USR64768,False,Warda Bhasin,DJJZS1635L,137833448545,,Mumbai,Maharashtra,32936.0,Self Employed,2026-02-22 00:00:00,VERIFIED,UNKNOWN
USR16446,Yagnesh Roy,QPZXB2641,,09-19-1997,Chennai,Tamil Nadu,,Salaried,08-29-2025,Done,high,USR16446,False,Yagnesh Roy,,,1997-09-19,Chennai,Tamil Nadu,,Salaried,2025-08-29 00:00:00,DONE,HIGH
USR22470,Ubika Saraf,GEZXL-8319-T,385691746808,1985/04/21,Bangalore,Karnataka,"Rs. 12,941",Student,27/08/2024 07:40 AM,Rejected,MEDIUM,USR22470,False,Ubika Saraf,GEZXL8319T,385691746808,1985-04-21,Bengaluru,Karnataka,12941.0,Student,,REJECTED,MEDIUM
USR78907,Garima Sangha,NTGKP6262I,XXXX-XXXX-3516,1977-09-14 08:11:37,Amritsar,Punjab,"INR 14,527",Salaried,,PENDING,low,USR78907,False,Garima Sangha,NTGKP6262I,,1977-09-14,Amritsar,Punjab,14527.0,Salaried,,PENDING,LOW
USR55616,Jasmit Nadkarni,EGCOO2505G,0738 3587 8098,04-02-1993,Bengaluru,Karnataka,17065,Retired,2025/08/22,Verified,LOW,USR55616,False,Jasmit Nadkarni,EGCOO2505G,073835878098,1993-02-04,Bengaluru,Karnataka,17065.0,Retired,2025-08-22 00:00:00,VERIFIED,LOW
USR11988,Udarsh Khalsa,RWL1L9015J,005370369333,08-Sep-1973,Bangalore,Karnataka,57849,Self Employed,03-10-2026,VERIFIED,Low,USR11988,False,Udarsh Khalsa,,005370369333,1973-09-08,Bengaluru,Karnataka,57849.0,Self Employed,2026-03-10 00:00:00,VERIFIED,LOW
USR78571,GautamiSanghvi,PXLGX1420K,497306999651,18-Oct-1977,Amritsar,Punjab,25062,Student,20/05/2024 04:14 PM,Verified,low,USR78571,False,Gautamisanghvi,PXLGX1420K,497306999651,1977-10-18,Amritsar,Punjab,25062.0,Student,,VERIFIED,LOW
USR26915,AARNA DESHMUKH,VVYMS8300C,411377608777,1127679632,chennai,Tamil Nadu,-23328,Unemployed,09/06/2024,Verified,LOW,USR26915,False,Aarna Deshmukh,VVYMS8300C,411377608777,,Chennai,Tamil Nadu,,Unemployed,2024-06-09 00:00:00,VERIFIED,LOW
USR71883,amara oak,OWXKX2821C,619501763518,1995-09-09 15:52:56,bengaluru,Karnataka,"INR 22,743",Retired,2025/04/30,REJECTED,Medium,USR71883,False,Amara Oak,OWXKX2821C,619501763518,1995-09-09,Bengaluru,Karnataka,22743.0,Retired,2025-04-30 00:00:00,REJECTED,MEDIUM
USR67037,Lucky Konda,CRHRQ9787A,8924 6694 1914,1991/12/26,lucknow,Uttar Pradesh,18960,Business Owner,2024-08-28 09:57:39,APPROVED,low,USR67037,False,Lucky Konda,CRHRQ9787A,892466941914,1991-12-26,Lucknow,Uttar Pradesh,18960.0,Business Owner,2024-08-28 09:57:39,APPROVED,LOW
USR28669,GEORGE DAR,qlrnp1618y,2178202165,01/04/1978,Mumbay,Maharashtra,"INR 24,646",Self Employed,1707584602,Rejected,Medium,USR28669,False,George Dar,QLRNP1618Y,,1978-04-01,Mumbai,Maharashtra,24646.0,Self Employed,2024-02-10 17:03:22,REJECTED,MEDIUM
USR74087,Qarin Sengupta,TGCGN 4731 B,507933608333,26/01/1987,ASR,Punjab,11942,Salaried,15/01/2026 05:56 AM,V,Medium,USR74087,False,Qarin Sengupta,TGCGN4731B,507933608333,1987-01-26,Amritsar,Punjab,11942.0,Salaried,,VERIFIED,MEDIUM
97475,BIMALA RAO,ZWIEO8960X,581975734236,1977-04-08 12:26:05,Hyd,Telangana,,Farmer,26/03/2024,Done,LOW,USR97475,False,Bimala Rao,ZWIEO8960X,581975734236,1977-04-08,Hyderabad,Telangana,,Farmer,2024-03-26 00:00:00,DONE,LOW
USR29005,Wazir Ghose,SVTQR6809M,480853410333,19-Dec-1993,New Delhi,Delhi,"INR 14,463",Student,12-Mar-2024,APPROVED,LOW,USR29005,False,Wazir Ghose,SVTQR6809M,480853410333,1993-12-19,Delhi,Delhi,14463.0,Student,2024-03-12 00:00:00,APPROVED,LOW
USR 78059,Vasana Palla,CALNW0586S,754746798970,27/04/1991,MUMBAI,Maharashtra,29828,Farmer,23/11/2024,Done,low,USR78059,False,Vasana Palla,CALNW0586S,754746798970,1991-04-27,Mumbai,Maharashtra,29828.0,Farmer,2024-11-23 00:00:00,DONE,LOW
USR15644,Anita Balay,VZJON4073W,1702 0376 5815,1994/05/12,BLR,Karnataka,Not Available,Unemployed,11/03/2025,Verified,Medium,USR15644,False,Anita Balay,VZJON4073W,170203765815,1994-05-12,Bengaluru,Karnataka,,Unemployed,2025-03-11 00:00:00,VERIFIED,MEDIUM
USR53776,Advaith Sur,ORRQC4341P,936833471186,16/08/1980,Amritsar,Punjab,29723,Gig Worker,04/10/2024,P,low,USR53776,False,Advaith Sur,ORRQC4341P,936833471186,1980-08-16,Amritsar,Punjab,29723.0,Gig Worker,2024-10-04 00:00:00,PENDING,LOW
USR35738,Nachiket Saini,MPBCY 9061 Z,2927 1878 2869,1982-06-19 02:07:43,LDH,Punjab,9263,Retired,24/04/2025,REJECTED,LOW,USR35738,False,Nachiket Saini,MPBCY9061Z,292718782869,1982-06-19,Ludhiana,Punjab,9263.0,Retired,2025-04-24 00:00:00,REJECTED,LOW
USR30688,Pooja Koshy,yvqmb3903y,375014980195,,Jaipur,Rajasthan,55299,Salaried,2025-05-12 21:33:30,APPROVED,LOW,USR30688,False,Pooja Koshy,YVQMB3903Y,375014980195,,Jaipur,Rajasthan,55299.0,Salaried,2025-05-12 21:33:30,APPROVED,LOW
43692,Kashvi Bal,XCBFC3495G,0224-5644-9188,82796753,HYDERABAD,Telangana,26181,Retired,30/05/2024,V,Low,USR43692,False,Kashvi Bal,XCBFC3495G,022456449188,,Hyderabad,Telangana,26181.0,Retired,2024-05-30 00:00:00,VERIFIED,LOW
usr_13931,VRINDA SODHI,JAXKB7158R,232101145647,10/03/1994 06:26 PM,Jalandhar,Punjab,"INR 13,080",Salaried,,Done,HIGH,USR13931,False,Vrinda Sodhi,JAXKB7158R,232101145647,1994-03-10,Jalandhar,Punjab,13080.0,Salaried,,DONE,HIGH
USR 16890,UnniPurohit,SRFPG 7183 S,128864682279,1997/12/05,LKO,Uttar Pradesh,19516,Farmer,01/04/2024 12:10 PM,APPROVED,medium,USR16890,False,Unnipurohit,SRFPG7183S,128864682279,1997-12-05,Lucknow,Uttar Pradesh,19516.0,Farmer,,APPROVED,MEDIUM
USR60800,benjamin hayre,SKOEK2388A,XXXX-XXXX-6470,,jalandhar,Punjab,-30797,Farmer,2024-03-23 05:13:33,Verified,MEDIUM,USR60800,False,Benjamin Hayre,SKOEK2388A,,,Jalandhar,Punjab,,Farmer,2024-03-23 05:13:33,VERIFIED,MEDIUM
USR43778,Megha Saran,FBYVC9113B,2525-9504-2768,1995-01-26 17:14:51,LDH,Punjab,27468,Student,11-Aug-2024,V,MEDIUM,USR43778,False,Megha Saran,FBYVC9113B,252595042768,1995-01-26,Ludhiana,Punjab,27468.0,Student,2024-08-11 00:00:00,VERIFIED,MEDIUM
USR70695,Darsh Rana,HOHLD1406O,6634-7061-6081,13/05/1986,bengaluru,Karnataka,"₹32,215",Business Owner,16/06/2024,FAILED,Low,USR70695,False,Darsh Rana,HOHLD1406O,663470616081,1986-05-13,Bengaluru,Karnataka,32215.0,Business Owner,2024-06-16 00:00:00,FAILED,LOW
usr82121,Maanas Kumar,PHLMO0100D,3070-9323-8655,15/06/2000,Mumbai,Maharashtra,"₹50,644",Student,19-Apr-2024,V,Low,USR82121,False,Maanas Kumar,PHLMO0100D,307093238655,2000-06-15,Mumbai,Maharashtra,50644.0,Student,2024-04-19 00:00:00,VERIFIED,LOW
USR28535,Laban Sinha,RFMPF-5305-S,XXXX-XXXX-3078,28/11/1998 03:44 PM,Pune,Maharashtra,"₹23,001",Retired,2024-12-31 23:15:38,Under Review,MEDIUM,USR28535,False,Laban Sinha,RFMPF5305S,,1998-11-28,Pune,Maharashtra,23001.0,Retired,2024-12-31 23:15:38,UNDER_REVIEW,MEDIUM
USR61312,Manbir Kar,OYDNZ6406F,5451-2692-1501,03-19-2005,Hyderabad,Telangana,-43301,Farmer,04-Feb-2025,REJECTED,LOW,USR61312,False,Manbir Kar,OYDNZ6406F,545126921501,2005-03-19,Hyderabad,Telangana,,Farmer,2025-02-04 00:00:00,REJECTED,LOW
usr17743,Sneha Palan,HXELE7376C,012024085465,22-Sep-1986,kolkata,West Bengal,30964,Student,07-02-2025,APPROVED,low,USR17743,False,Sneha Palan,HXELE7376C,012024085465,1986-09-22,Kolkata,West Bengal,30964.0,Student,2025-07-02 00:00:00,APPROVED,LOW
USR 75869,  Triya Sodhi  ,KUCXN4426K,5985 2349 7392,16-Sep-1999,amritsar,Punjab,"₹17,400",Salaried,11/03/2024,Under Review,MEDIUM,USR75869,False,Triya Sodhi,KUCXN4426K,598523497392,1999-09-16,Amritsar,Punjab,17400.0,Salaried,2024-03-11 00:00:00,UNDER_REVIEW,MEDIUM
