merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account,merchant_status,declared_avg_ticket_size,merchant_id_clean,merchant_name_clean,mcc_clean,merchant_category_clean,business_type_clean,city_clean,state_clean,onboarding_date_clean,settlement_account_clean,settlement_account_type,merchant_status_clean,declared_avg_ticket_size_clean
MCH8556,"Rout, Dhillon and Sinha",5942,Book Store,SOLE_PROPRIETOR,jaipur,Rajasthan,04/05/2023 05:49 PM,,Live,,MCH8556,"Rout, Dhillon And Sinha",5942.0,BOOKS_STATIONERY,SOLE_PROPRIETOR,Jaipur,Rajasthan,2023-04-05 17:49:00,,MISSING,ACTIVE,
MCH 9997,"Kalita, Dass and Balay",MCC-5999,misc retail,individual,ludhiana,Punjab,07-12-2023,XXXX2557,Live,2233.91,MCH9997,"Kalita, Dass And Balay",,MISCELLANEOUS RETAIL,INDIVIDUAL,Ludhiana,Punjab,2023-07-12 00:00:00,XXXX2557,MASKED_ACCOUNT,ACTIVE,2233.91
MCH7003,"Koshy, Samra and Chana",5942,BOOKS_STATIONERY,PRIVATE-LIMITED,Jalandhar,Punjab,2024/06/29,XXXX7569,Hold,776.99,MCH7003,"Koshy, Samra And Chana",5942.0,BOOKS_STATIONERY,PRIVATE_LIMITED,Jalandhar,Punjab,2024-06-29 00:00:00,XXXX7569,MASKED_ACCOUNT,SUSPENDED,776.99
MCH 6945,Barad LLC,5311.0,Retail,partnership,Ludhiana,Punjab,13/09/2025 06:55 AM,,Live,3350.77,MCH6945,Barad Llc,5311.0,RETAIL,PARTNERSHIP,Ludhiana,Punjab,2025-09-13 06:55:00,,MISSING,ACTIVE,3350.77
mch4323,"Ben, Wagle and Shan",5812,eating place,SOLE-PROPRIETOR,Madras,Tamil Nadu,2023-05-11 05:53:16,4367668757,SUSPENDED,,MCH4323,"Ben, Wagle And Shan",5812.0,RESTAURANT,SOLE_PROPRIETOR,Chennai,Tamil Nadu,2023-05-11 05:53:16,4367668757,NUMERIC_ACCOUNT,SUSPENDED,
mch1405,Sawhney-Naru1a,5912.0,MEDICAL_STORE,sole_proprietor,lucknow,Uttar Pradesh,2024/12/31,,SUSPENDED,3091.86,MCH1405,Sawhney-Naru1A,5912.0,MEDICAL,SOLE_PROPRIETOR,Lucknow,Uttar Pradesh,2024-12-31 00:00:00,,MISSING,SUSPENDED,3091.86
MCH9459,Bala and Sons,5411,Grocery,PARTNERSHIP,Madras,Tamil Nadu,2023/11/12,,Enabled,558.21,MCH9459,Bala And Sons,5411.0,GROCERY,PARTNERSHIP,Chennai,Tamil Nadu,2023-11-12 00:00:00,,MISSING,ACTIVE,558.21
MCH7645,Majumdar-Nagarajan,MCC-5912,MEDICAL_STORE,Sole Proprietor,Amritsar,Punjab,21-Sep-2024,7530870851,Enabled,"₹1,396.81",MCH7645,Majumdar-Nagarajan,,MEDICAL,SOLE_PROPRIETOR,Amritsar,Punjab,2024-09-21 00:00:00,7530870851,NUMERIC_ACCOUNT,ACTIVE,1396.81
mch9620,chad plc,,Retail,INDIVIDUAL,Ludhiana,Punjab,04-16-2025,HEOY8360949899311,ACTIVE,INR 786.55,MCH9620,Chad Plc,,RETAIL,INDIVIDUAL,Ludhiana,Punjab,2025-04-16 00:00:00,HEOY8360949899311,ALPHANUMERIC_ACCOUNT,ACTIVE,786.55
MCH9815,"NARASIMHAN, VASA AND GOSWAMI",5942,Book Store,INDIVIDUAL,DELHI,Delhi,10/11/2025 04:53 AM,MZNM1643262942719,Active,-528.91,MCH9815,"Narasimhan, Vasa And Goswami",5942.0,BOOKS_STATIONERY,INDIVIDUAL,Delhi,Delhi,2025-10-11 04:53:00,MZNM1643262942719,ALPHANUMERIC_ACCOUNT,ACTIVE,
MCH5251,"Rana, Chandra and Tank",4131,Transportation,Partnership,mumbai,Maharashtra,,,I,"INR 3,641.26",MCH5251,"Rana, Chandra And Tank",4131.0,TRANSPORTATION,PARTNERSHIP,Mumbai,Maharashtra,,,MISSING,INACTIVE,3641.26
mch2934,Warri0r-Siba1,5999.0,Other,INDIVIDUAL,amritsar,Punjab,07-Apr-2025,,Live,,MCH2934,Warri0R-Siba1,5999.0,OTHER,INDIVIDUAL,Amritsar,Punjab,2025-04-07 00:00:00,,MISSING,ACTIVE,
MCH3140,"Zachariah,RajagopalandSamra",4814,TELECOM,private_limited,amritsar,Punjab,2023-09-04 17:37:45,,ACTIVE,363.21,MCH3140,"Zachariah,Rajagopalandsamra",4814.0,TELECOM,PRIVATE_LIMITED,Amritsar,Punjab,2023-09-04 17:37:45,,MISSING,ACTIVE,363.21
MCH2833,Kapoor-Shankar,7011,HOTEL_LODGING,SOLE_PROPRIETOR,Jalandar,Punjab,,VEQH1532066637768,Live,₹474.69,MCH2833,Kapoor-Shankar,7011.0,HOSPITALITY,SOLE_PROPRIETOR,Jalandhar,Punjab,,VEQH1532066637768,ALPHANUMERIC_ACCOUNT,ACTIVE,474.69
mch2849,"BHAVSAR, KOTA AND ZACHARIA",MCC-7011,HOTEL_LODGING,Private Limited,Ludhiana,Punjab,09-23-2025,,A,"INR 2,432.18",MCH2849,"Bhavsar, Kota And Zacharia",,HOSPITALITY,PRIVATE_LIMITED,Ludhiana,Punjab,2025-09-23 00:00:00,,MISSING,ACTIVE,2432.18
MCH6397,"SURI, AGRAWAL AND NATARAJAN",5942,Books,PARTNERSHIP,Delhi,Delhi,19/08/2024,,ACTIVE,Rs. 547,MCH6397,"Suri, Agrawal And Natarajan",5942.0,BOOKS_STATIONERY,PARTNERSHIP,Delhi,Delhi,2024-08-19 00:00:00,,MISSING,ACTIVE,547.0
MCH 2749,issac and sons,MCC-5912,MEDICAL_STORE,sole_proprietor,Mumbai,Maharashtra,03-09-2025,1616970087,Live,,MCH2749,Issac And Sons,,MEDICAL,SOLE_PROPRIETOR,Mumbai,Maharashtra,2025-03-09 00:00:00,1616970087,NUMERIC_ACCOUNT,ACTIVE,
MCH5089,Korpal-Parmer,05311,Retail,Private Limited,Jaipur,Rajasthan,2024/06/14,,A,"Rs. 3,730",MCH5089,Korpal-Parmer,5311.0,RETAIL,PRIVATE_LIMITED,Jaipur,Rajasthan,2024-06-14 00:00:00,,MISSING,ACTIVE,3730.0
MCH5112,nigam-chawla,4131,Transportation,Private Limited,Chennai,Tamil Nadu,06/09/2025,,Disabled,INR 353.30,MCH5112,Nigam-Chawla,4131.0,TRANSPORTATION,PRIVATE_LIMITED,Chennai,Tamil Nadu,2025-06-09 00:00:00,,MISSING,INACTIVE,353.3
mch9951,Natt Group,5912,Pharmacies,partnership,Madras,Tamil Nadu,05-Feb-2024,TSMH8783182679043,Enabled,1765.37,MCH9951,Natt Group,5912.0,MEDICAL,PARTNERSHIP,Chennai,Tamil Nadu,2024-02-05 00:00:00,TSMH8783182679043,ALPHANUMERIC_ACCOUNT,ACTIVE,1765.37
mch4962,venkataraman-mannan,5942,Books,private_limited,Chennai,Tamil Nadu,1752559334,8238766790,Live,₹266.61,MCH4962,Venkataraman-Mannan,5942.0,BOOKS_STATIONERY,PRIVATE_LIMITED,Chennai,Tamil Nadu,2025-07-15 06:02:14,8238766790,NUMERIC_ACCOUNT,ACTIVE,266.61
MCH1541,Bhattacharyya-Hans,MCC-7011,Hotels,PRIVATE-LIMITED,kolkata,West Bengal,2024/03/24,XXXX2848,Enabled,₹621.01,MCH1541,Bhattacharyya-Hans,,HOSPITALITY,PRIVATE_LIMITED,Kolkata,West Bengal,2024-03-24 00:00:00,XXXX2848,MASKED_ACCOUNT,ACTIVE,621.01
mch3442,Kuruvilla Ltd,5411,Grocery,partnership,Hyd,Telangana,11-04-2023,,Disabled,1281.68,MCH3442,Kuruvilla Ltd,5411.0,GROCERY,PARTNERSHIP,Hyderabad,Telangana,2023-11-04 00:00:00,,MISSING,INACTIVE,1281.68
MCH 9993,Chadha-Tailor,5942,Book Store,private_limited,Ludhiana,Punjab,05-Jan-2026,,Inactive,2368.65,MCH9993,Chadha-Tailor,5942.0,BOOKS_STATIONERY,PRIVATE_LIMITED,Ludhiana,Punjab,2026-01-05 00:00:00,,MISSING,INACTIVE,2368.65
8365,Som-Dhar,5999,Misc Retail,individual,pune,Maharashtra,30/08/2025,,Live,269.48,MCH8365,Som-Dhar,5999.0,MISCELLANEOUS RETAIL,INDIVIDUAL,Pune,Maharashtra,2025-08-30 00:00:00,,MISSING,ACTIVE,269.48
MCH-2536,  Divan-Radhakrishnan  ,4131,transprt,PRIVATE-LIMITED,Poona,Maharashtra,09-Jul-2025,NWSY9894058484946,Live,,MCH2536,Divan-Radhakrishnan,4131.0,TRANSPORTATION,PRIVATE_LIMITED,Pune,Maharashtra,2025-07-09 00:00:00,NWSY9894058484946,ALPHANUMERIC_ACCOUNT,ACTIVE,
MCH6777,LALL-DATE,5411,groceries,PARTNERSHIP,LKO,Uttar Pradesh,2023-12-20 14:05:11,XXXX6676,Enabled,1143.87,MCH6777,Lall-Date,5411.0,GROCERY,PARTNERSHIP,Lucknow,Uttar Pradesh,2023-12-20 14:05:11,XXXX6676,MASKED_ACCOUNT,ACTIVE,1143.87
MCH8152,chaudhari plc,5912.0,Pharmacy,SOLE-PROPRIETOR,Jalandhar,Punjab,24/07/2023 08:56 PM,,Active,"INR 1,648.01",MCH8152,Chaudhari Plc,5912.0,MEDICAL,SOLE_PROPRIETOR,Jalandhar,Punjab,2023-07-24 20:56:00,,MISSING,ACTIVE,1648.01
MCH 2665,"  Arora, Bir and Mahal  ",5311,Retail,SOLE_PROPRIETOR,LKO,Uttar Pradesh,15/11/2024 08:23 PM,3459659161,Inactive,"INR 2,101.74",MCH2665,"Arora, Bir And Mahal",5311.0,RETAIL,SOLE_PROPRIETOR,Lucknow,Uttar Pradesh,2024-11-15 20:23:00,3459659161,NUMERIC_ACCOUNT,INACTIVE,2101.74
MCH1384,THAKUR-BEN,4814,Telecom,INDIVIDUAL,Hyderabad,Telangana,2023/11/04,,Live,"₹1,433.16",MCH1384,Thakur-Ben,4814.0,TELECOM,INDIVIDUAL,Hyderabad,Telangana,2023-11-04 00:00:00,,MISSING,ACTIVE,1433.16
MCH-4729,parmer-kulkarni,5311,DEPT_STORE,INDIVIDUAL,Bangalore,Karnataka,03/09/2023 03:34 PM,,A,"INR 1,384.93",MCH4729,Parmer-Kulkarni,5311.0,DEPARTMENT STORE,INDIVIDUAL,Bengaluru,Karnataka,2023-03-09 15:34:00,,MISSING,ACTIVE,1384.93
mch6326,"Barad,MurtyandTella",5942,BOOKS_STATIONERY,PRIVATE-LIMITED,chennai,Tamil Nadu,22/06/2024 06:08 PM,LQXK9607455160094,Enabled,-671.62,MCH6326,"Barad,Murtyandtella",5942.0,BOOKS_STATIONERY,PRIVATE_LIMITED,Chennai,Tamil Nadu,2024-06-22 18:08:00,LQXK9607455160094,ALPHANUMERIC_ACCOUNT,ACTIVE,
MCH5563,"Dubey, Wali and Yadav",,garments,sole_proprietor,kolkata,West Bengal,01-28-2024,5163059320,ACTIVE,"Rs. 2,198",MCH5563,"Dubey, Wali And Yadav",,CLOTHING,SOLE_PROPRIETOR,Kolkata,West Bengal,2024-01-28 00:00:00,5163059320,NUMERIC_ACCOUNT,ACTIVE,2198.0
MCH3063,Bansal Inc,04131,Transport,INDIVIDUAL,JPR,Rajasthan,2025/07/02,,I,282.67,MCH3063,Bansal Inc,4131.0,TRANSPORTATION,INDIVIDUAL,Jaipur,Rajasthan,2025-07-02 00:00:00,,MISSING,INACTIVE,282.67
MCH7974,"Verma, Koshy and Bhardwaj",5411,GROCERY_STORE,individual,Jaipur,Rajasthan,04-Oct-2023,7985944544,Enabled,460.5,MCH7974,"Verma, Koshy And Bhardwaj",5411.0,GROCERY,INDIVIDUAL,Jaipur,Rajasthan,2023-10-04 00:00:00,7985944544,NUMERIC_ACCOUNT,ACTIVE,460.5
MCH5575,  Sandal LLC  ,5411,kirana,partnership,Chennai,Tamil Nadu,13-Feb-2024,XXXX5528,A,"INR 5,255.72",MCH5575,Sandal Llc,5411.0,GROCERY,PARTNERSHIP,Chennai,Tamil Nadu,2024-02-13 00:00:00,XXXX5528,MASKED_ACCOUNT,ACTIVE,5255.72
MCH7433,"Sahota, Desai and Sarma",5999,Misc Retail,INDIVIDUAL,pune,Maharashtra,24-Feb-2024,,A,₹867.14,MCH7433,"Sahota, Desai And Sarma",5999.0,MISCELLANEOUS RETAIL,INDIVIDUAL,Pune,Maharashtra,2024-02-24 00:00:00,,MISSING,ACTIVE,867.14
MCH-1454,WableInc,5999,Misc Retail,INDIVIDUAL,Lucknow,Uttar Pradesh,2025/06/18,7787448001,Live,"Rs. 2,617",MCH1454,Wableinc,5999.0,MISCELLANEOUS RETAIL,INDIVIDUAL,Lucknow,Uttar Pradesh,2025-06-18 00:00:00,7787448001,NUMERIC_ACCOUNT,ACTIVE,2617.0
MCH1331,"Garg, Bobal and Jain",MCC-4131,TRAVEL,individual,Calcutta,West Bengal,2024/06/29,,ACTIVE,3720.61,MCH1331,"Garg, Bobal And Jain",,TRANSPORTATION,INDIVIDUAL,Kolkata,West Bengal,2024-06-29 00:00:00,,MISSING,ACTIVE,3720.61
MCH1168,  Sekhon Inc  ,5411,Grocery,SOLE_PROPRIETOR,Hyd,Telangana,26/07/2025 09:06 PM,,Enabled,"Rs. 6,003",MCH1168,Sekhon Inc,5411.0,GROCERY,SOLE_PROPRIETOR,Hyderabad,Telangana,2025-07-26 21:06:00,,MISSING,ACTIVE,6003.0
MCH5283,"  Verma, Narasimhan and Balan  ",,Pharmacies,Individual,delhi,Delhi,05-Feb-2026,,INACTIVE,"Rs. 1,266",MCH5283,"Verma, Narasimhan And Balan",,MEDICAL,INDIVIDUAL,Delhi,Delhi,2026-02-05 00:00:00,,MISSING,INACTIVE,1266.0
MCH2698,KalaLLC,7011,hotel_lodging,individual,lucknow,Uttar Pradesh,08-19-2023,YXNF3515433387898,Inactive,"INR 3,590.19",MCH2698,Kalallc,7011.0,HOSPITALITY,INDIVIDUAL,Lucknow,Uttar Pradesh,2023-08-19 00:00:00,YXNF3515433387898,ALPHANUMERIC_ACCOUNT,INACTIVE,3590.19
MCH6451,Chandran Group,5311,Department Store,INDIVIDUAL,Jalandar,Punjab,2025/10/07,5694147499,I,165.95,MCH6451,Chandran Group,5311.0,DEPARTMENT STORE,INDIVIDUAL,Jalandhar,Punjab,2025-10-07 00:00:00,5694147499,NUMERIC_ACCOUNT,INACTIVE,165.95
MCH2255,  Lal Ltd  ,5311,Department Stores,individual,JPR,Rajasthan,29/05/2023,6674150314,Live,"INR 1,404.67",MCH2255,Lal Ltd,5311.0,DEPARTMENT STORE,INDIVIDUAL,Jaipur,Rajasthan,2023-05-29 00:00:00,6674150314,NUMERIC_ACCOUNT,ACTIVE,1404.67
mch7312,Ramakrishnan-Banerjee,5311,Retail,sole_proprietor,mumbai,Maharashtra,24/02/2024 11:03 AM,CCCL8077324997121,Enabled,977.96,MCH7312,Ramakrishnan-Banerjee,5311.0,RETAIL,SOLE_PROPRIETOR,Mumbai,Maharashtra,2024-02-24 11:03:00,CCCL8077324997121,ALPHANUMERIC_ACCOUNT,ACTIVE,977.96
MCH8549,"Amb1e, Sangha and C0mar",4814,TELECOM,INDIVIDUAL,ludhiana,Punjab,12-Jan-2026,XXXX7799,Enabled,"INR 1,130.69",MCH8549,"Amb1E, Sangha And C0Mar",4814.0,TELECOM,INDIVIDUAL,Ludhiana,Punjab,2026-01-12 00:00:00,XXXX7799,MASKED_ACCOUNT,ACTIVE,1130.69
MCH9784,lal ltd,05812,eating place,PARTNERSHIP,Madras,Tamil Nadu,28/12/2024 05:21 AM,XXXX3001,Enabled,1442.84,MCH9784,Lal Ltd,5812.0,RESTAURANT,PARTNERSHIP,Chennai,Tamil Nadu,2024-12-28 05:21:00,XXXX3001,MASKED_ACCOUNT,ACTIVE,1442.84
MCH5395,"Dada, Jani and Kaul",5942.0,Stationery,Partnership,Madras,Tamil Nadu,06-Mar-2025,,Live,-698.53,MCH5395,"Dada, Jani And Kaul",5942.0,BOOKS_STATIONERY,PARTNERSHIP,Chennai,Tamil Nadu,2025-03-06 00:00:00,,MISSING,ACTIVE,
MCH6067,Chaw1a-Gangu1y,UNKNOWN,Hospitality,sole_proprietor,mumbai,Maharashtra,2025/12/03,FNQE1460028710860,Inactive,700.95,MCH6067,Chaw1A-Gangu1Y,,HOSPITALITY,SOLE_PROPRIETOR,Mumbai,Maharashtra,2025-12-03 00:00:00,FNQE1460028710860,ALPHANUMERIC_ACCOUNT,INACTIVE,700.95
MCH4786,EDWIN PLC,5699,Clothing,INDIVIDUAL,Ludhiana,Punjab,15/12/2024,4903394968,Enabled,"3,435.22",MCH4786,Edwin Plc,5699.0,CLOTHING,INDIVIDUAL,Ludhiana,Punjab,2024-12-15 00:00:00,4903394968,NUMERIC_ACCOUNT,ACTIVE,3435.22
MCH3559,Chokshi Inc,5812.0,Food,private_limited,bengaluru,Karnataka,23/12/2024,XXXX5330,SUSPENDED,-535.7,MCH3559,Chokshi Inc,5812.0,RESTAURANT,PRIVATE_LIMITED,Bengaluru,Karnataka,2024-12-23 00:00:00,XXXX5330,MASKED_ACCOUNT,SUSPENDED,
MCH3955,"Swamy, Dhingra and Sheth",5311.0,Department Stores,Individual,Chennai,Tamil Nadu,25/11/2024,,SUSPENDED,Rs. 508,MCH3955,"Swamy, Dhingra And Sheth",5311.0,DEPARTMENT STORE,INDIVIDUAL,Chennai,Tamil Nadu,2024-11-25 00:00:00,,MISSING,SUSPENDED,508.0
MCH3558,"Bhattacharyya, Mahal and Setty",4131,transprt,partnership,jaipur,Rajasthan,28-Jul-2023,7325110455,Enabled,4448.97,MCH3558,"Bhattacharyya, Mahal And Setty",4131.0,TRANSPORTATION,PARTNERSHIP,Jaipur,Rajasthan,2023-07-28 00:00:00,7325110455,NUMERIC_ACCOUNT,ACTIVE,4448.97
MCH2879,"Pillay, Vora and Karnik",MCC-5812,Restaurant,INDIVIDUAL,LDH,Punjab,2024-05-20 19:55:26,9486638654,ACTIVE,,MCH2879,"Pillay, Vora And Karnik",,RESTAURANT,INDIVIDUAL,Ludhiana,Punjab,2024-05-20 19:55:26,9486638654,NUMERIC_ACCOUNT,ACTIVE,
MCH-3340,VARTY-CHOKSHI,5999,Miscellaneous,PARTNERSHIP,Chennai,Tamil Nadu,1680836570,,ACTIVE,311.76,MCH3340,Varty-Chokshi,5999.0,MISCELLANEOUS RETAIL,PARTNERSHIP,Chennai,Tamil Nadu,2023-04-07 03:02:50,,MISSING,ACTIVE,311.76
MCH6403,"Sahni, Kapur and Ganesh",,CLOTHS,private_limited,Madras,Tamil Nadu,30-May-2024,,ACTIVE,₹344.49,MCH6403,"Sahni, Kapur And Ganesh",,CLOTHING,PRIVATE_LIMITED,Chennai,Tamil Nadu,2024-05-30 00:00:00,,MISSING,ACTIVE,344.49
MCH 3455,Singhal LLC,05311,Department Store,INDIVIDUAL,Jalandar,Punjab,06/01/2026 05:10 AM,,Active,11222.95,MCH3455,Singhal Llc,5311.0,DEPARTMENT STORE,INDIVIDUAL,Jalandhar,Punjab,2026-06-01 05:10:00,,MISSING,ACTIVE,11222.95
MCH8578,Bhatt LLC,4131,transprt,SOLE-PROPRIETOR,Poona,Maharashtra,26/08/2023 11:42 PM,QYMF1422119480722,Inactive,"₹2,462.04",MCH8578,Bhatt Llc,4131.0,TRANSPORTATION,SOLE_PROPRIETOR,Pune,Maharashtra,2023-08-26 23:42:00,QYMF1422119480722,ALPHANUMERIC_ACCOUNT,INACTIVE,2462.04
MCH4277,Chaudhry-Karpe,4131,Transportation,private_limited,ludhiana,Punjab,2023-11-09 07:01:01,,Enabled,-3362.42,MCH4277,Chaudhry-Karpe,4131.0,TRANSPORTATION,PRIVATE_LIMITED,Ludhiana,Punjab,2023-11-09 07:01:01,,MISSING,ACTIVE,
MCH8716,"Naik, Chada and Divan",5999,Other,private_limited,LDH,Punjab,11-Jan-2023,EDPS0799008597487,Live,₹225.43,MCH8716,"Naik, Chada And Divan",5999.0,OTHER,PRIVATE_LIMITED,Ludhiana,Punjab,2023-01-11 00:00:00,EDPS0799008597487,ALPHANUMERIC_ACCOUNT,ACTIVE,225.43
MCH 9697,Walla Ltd,,telecom,INDIVIDUAL,Bangalore,Karnataka,2025/07/21,,Live,"₹1,081.86",MCH9697,Walla Ltd,,TELECOM,INDIVIDUAL,Bengaluru,Karnataka,2025-07-21 00:00:00,,MISSING,ACTIVE,1081.86
1170,"Wali, Bala and Sanghvi",05311,Department Store,SOLE-PROPRIETOR,BLR,Karnataka,01/04/2023 03:30 PM,,INACTIVE,"₹1,109.65",MCH1170,"Wali, Bala And Sanghvi",5311.0,DEPARTMENT STORE,SOLE_PROPRIETOR,Bengaluru,Karnataka,2023-01-04 15:30:00,,MISSING,INACTIVE,1109.65
MCH8705,"Sahota, Kale and Patil",4131,transprt,Private Limited,delhi,Delhi,10-Nov-2024,XXXX9019,Enabled,1127.21,MCH8705,"Sahota, Kale And Patil",4131.0,TRANSPORTATION,PRIVATE_LIMITED,Delhi,Delhi,2024-11-10 00:00:00,XXXX9019,MASKED_ACCOUNT,ACTIVE,1127.21
MCH6875,BUCH LTD,5912,chemist,Individual,LKO,Uttar Pradesh,02-07-2023,,ACTIVE,2704.27,MCH6875,Buch Ltd,5912.0,MEDICAL,INDIVIDUAL,Lucknow,Uttar Pradesh,2023-02-07 00:00:00,,MISSING,ACTIVE,2704.27
MCH 5146,Wadhwa-Swamy,05311,Department Stores,partnership,Jalandhar,Punjab,05/11/2023,,A,,MCH5146,Wadhwa-Swamy,5311.0,DEPARTMENT STORE,PARTNERSHIP,Jalandhar,Punjab,2023-05-11 00:00:00,,MISSING,ACTIVE,
MCH7239,Tata-Hayer,7011,Hotel,INDIVIDUAL,Madras,Tamil Nadu,2025/06/09,MPZF9929757844428,ACTIVE,"INR 1,929.61",MCH7239,Tata-Hayer,7011.0,HOSPITALITY,INDIVIDUAL,Chennai,Tamil Nadu,2025-06-09 00:00:00,MPZF9929757844428,ALPHANUMERIC_ACCOUNT,ACTIVE,1929.61
MCH7925,BADAMI GROUP,7011,HOTEL_LODGING,Sole Proprietor,Hyderabad,Telangana,01-Jul-2023,IVGP0940394312057,Live,,MCH7925,Badami Group,7011.0,HOSPITALITY,SOLE_PROPRIETOR,Hyderabad,Telangana,2023-07-01 00:00:00,IVGP0940394312057,ALPHANUMERIC_ACCOUNT,ACTIVE,
MCH3625,Lall Inc,5699,Fashion,INDIVIDUAL,Kolkata,West Bengal,16-Jul-2023,8363629876,Disabled,691.1,MCH3625,Lall Inc,5699.0,CLOTHING,INDIVIDUAL,Kolkata,West Bengal,2023-07-16 00:00:00,8363629876,NUMERIC_ACCOUNT,INACTIVE,691.1
MCH6999,srinivasan-agate,5812.0,eating place,partnership,Hyd,Telangana,22/02/2023 05:51 PM,,Live,"1,015.19",MCH6999,Srinivasan-Agate,5812.0,RESTAURANT,PARTNERSHIP,Hyderabad,Telangana,2023-02-22 17:51:00,,MISSING,ACTIVE,1015.19
MCH9868,"  Bedi, Konda and Kant  ",MCC-5912,MEDICAL_STORE,INDIVIDUAL,jaipur,Rajasthan,02/01/2023 06:58 AM,XXXX9285,Active,444.97,MCH9868,"Bedi, Konda And Kant",,MEDICAL,INDIVIDUAL,Jaipur,Rajasthan,2023-02-01 06:58:00,XXXX9285,MASKED_ACCOUNT,ACTIVE,444.97
MCH5356,"Solanki, Kala and Loke",4814,Mobile Recharge,PARTNERSHIP,Hyderabad,Telangana,03/01/2023,TUAH3044152488223,A,-827.01,MCH5356,"Solanki, Kala And Loke",4814.0,TELECOM,PARTNERSHIP,Hyderabad,Telangana,2023-03-01 00:00:00,TUAH3044152488223,ALPHANUMERIC_ACCOUNT,ACTIVE,
MCH 3953,"Ray, Minhas and Yohannan",5411,Grocery Stores,Sole Proprietor,kolkata,West Bengal,18-Mar-2023,XXXX6303,A,"INR 8,126.93",MCH3953,"Ray, Minhas And Yohannan",5411.0,GROCERY,SOLE_PROPRIETOR,Kolkata,West Bengal,2023-03-18 00:00:00,XXXX6303,MASKED_ACCOUNT,ACTIVE,8126.93
